analysis_id,n017806886p71k6
pvalue,0.9220992
mouse_strain,C57BL
parameter_id,MGP_MLN_058_001
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
parameter_name,Plasmacytoid DC - % of DC
gene_symbol,Fpgs
