gene_symbol,Atf3
analysis_id,zo1t2z9fl9c93b2
pvalue,0.2446753
parameter_id,MGP_PBI_019_001
parameter_name,Neutrophil percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
