parameter_id,MGP_IMM_020_001
parameter_name,Effector gd T cells - % of gd T cells
analysis_id,00o1g2698584z8p
pvalue,0.07448089
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
mouse_life_stage,Early adult
mouse_strain,C59BL
