parameter_name,Edema
analysis_id,f4v6v546918oeb6
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
mouse_strain,C57BL
pvalue,0.9015297
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_064_001
