parameter_name,Snout morphology
analysis_id,08412fx16o24d9p
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
pvalue,0.9090681
mouse_strain,C57BL
parameter_id,MGP_CSD_066_001
gene_symbol,Trp53rkb
