gene_symbol,Dhdds
parameter_name,Initial response to glucose challenge
parameter_id,IMPC_IPG_011_001
Mouse_life_stage,Early adult
pvalue,0.836966
mouse_strain,C57BL
gene_accession_id,MGI:1914672
analysis_id,8llrav6m590xpk5
