gene_symbol,Trpa1
mouse_strain,C57BL
pvalue,0.3365678
parameter_name,Phosphorus
gene_accession_id,MGI:3522699
parameter_id,IMPC_CBC_010_001
analysis_id,qf342ky3f02xtlb
mouse_life_stage,Early adult
