analysis_id,24ugfrh8w0g5266
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ahctf1
parameter_id,MGP_MLN_071_001
pvalue,0.856642
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:1915033
