analysis_id,7cfz66o0flyu5k7
pvalue,0.08984035
parameter_id,MGP_IMM_033_001
gene_symbol,Hspa5
parameter_name,Total NK cells - % of CD45+
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
mouse_strain,C57BL
