analysis_id,rq69v58350y6310
pvalue,0.1205846
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Red blood cell count
gene_symbol,Ssr2
parameter_id,ESLIM_016_001_002
