gene_symbol,Zfp683
gene_accession_id,MGI:3650254
parameter_name,Total CD4+ T cells - % of CD45+
parameter_id,MGP_IMM_071_001
analysis_id,33s00bvbu16033o
pvalue,0.9601817
mouse_life_stage,Early adult
mouse_strain,C57BL
