gene_symbol,Tatdn3
analysis_id,rf2g9u081ww83n3
gene_accession_id,MGI:1916222
parameter_name,MZB (CD21/35 high)
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5014064
parameter_id,IMPC_IMM_071_001
