analysis_id,i1ljcvon27ipe7j
mouse_life_stage,Early adult
pvalue,0.8555134
parameter_name,KLRG1+ mature NK cell percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_011_001
gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
