Analysis_id,1u711q77127ntr1
Pvalue,0.6167448
Parameter_name,End-Systolic Diameter
Gene_accession_id,MGI:1917810
Parameter_id,IMPC_ECH_001_001
Gene_symbol,Wars2
Mouse_life_stage,E9.5
Mouse_strain,C57BL
