parameter_name,Light side time spent
mouse_life_stage,Middle aged adult
analysis_id,u0f572se13nw9p3
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
pvalue,0.09106633
gene_symbol,Secisbp2l
