gene_symbol,Sgip1
parameter_id,MGP_PBI_011_001
parameter_name,KLRG1+ mature NK cell percentage
gene_accession_id,MGI:1920344
analysis_id,0893ghagyy52o92
pvalue,0.7372125
mouse_life_stage,Early adult
mouse_strain,C57BL
