parameter_name,B2B Cells
mouse_life_stage,Early adult
analysis_id,3q79y07b0859vk8
pvalue,0.7414835
gene_accession_id,MGI:99605
gene_symbol,Cntfr
parameter_id,IMPC_IMM_065_001
mouse_strain,C57BL
