parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
pvalue,0.399746
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
analysis_id,4d367dut0er6v84
gene_symbol,Hspa5
