pvalue,1.883499e-05
mouse_life_stage,Early adult
parameter_id,JAX_OFD_020_001
gene_symbol,Rab3gap2
parameter_name,Distance travelled - total
mouse_strain,C57BL
analysis_id,lmc9nb7np6i2h6p
gene_accession_id,MGI:1916043
