analysis_id,6u9k0900e18w405
pvalue,0.2583757
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
parameter_id,TCPLA_GRS_011_001
gene_symbol,Cpa3
