parameter_name,Periphery resting time
analysis_id,53e4he1t1mhe701
mouse_life_stage,E18.5
pvalue,0.8413372
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_id,IMPC_OFD_011_001
mouse_strain,C57BL
