gene_symbol,Il1r1
mouse_life_stage,Early adult
parameter_name,Weight
parameter_id,CCP_LFO_001_001
mouse_strain,C57BL
gene_accession_id,MGI:96545
analysis_id,7ie98pl7pvw7r3y
pvalue,0.9138734
