parameter_name,Eosinophils
mouse_strain,C57BL
analysis_id,296b5ww49f57250
gene_symbol,Col6a3
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
parameter_id,IMPC_IMM_052_001
pvalue,0.5679351
