parameter_id,IMPC_GRS_011_001
gene_accession_id,MGI:2685266
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,cllix46hywd8ogj
gene_symbol,Pglyrp3
pvalue,0.4405305
