analysis_id,45yor2cv31m5k32
gene_symbol,Trdmt1
parameter_name,Gait
pvalue,0.4767582
parameter_id,IMPC_CSD_033_001
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
mouse_strain,C57BL
