analysis_id,5b7qw0f97o64pgr
mouse_strain,C57BL
gene_accession_id,MGI:1913838
parameter_id,IMPC_GEO_048_002
parameter_name,Anophthalmia
pvalue,0.638118
gene_symbol,Cmpk1
mouse_life_stage,Early adult
