parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
gene_symbol,Rufy4
parameter_name,Retina (combined)
pvalue,0.5636516
analysis_id,4a3p1u72n29f4z3
mouse_strain,C57BL
