gene_symbol,Trim46
mouse_life_stage,Early adult
parameter_name,6kHz-evoked ABR Threshold
gene_accession_id,MGI:2673000
pvalue,0.3530098
analysis_id,1imnhl2a8w6o19q
mouse_strain,C57BL
parameter_id,IMPC_ABR_004_001
