parameter_name,BMC/Body weight
gene_symbol,Dmap1
parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:1913483
Analysis_id,cs7846w60e0xkb0
pvalue,0.7341928
mouse_strain,C57BL
mouse_life_stage,Early adult
