parameter_id,MGP_PBI_004_001
parameter_name,CD8+ alpha beta T cell percentage
analysis_id,880oi565b5leh0o
pvalue,0.06537903
gene_accession_id,MGI:1915678
gene_symbol,Steap3
mouse_life_stage,Early adult
mouse_strain,C57BL
