gene_symbol,Nanp
gene_accession_id,MGI:1914561
analysis_id,g527st5j00hw4nq
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_100_001
parameter_name,Resting NK cells - % of CD45+
pvalue,0.6635574
