gene_symbol,Cds2
parameter_id,IMPC_DXA_010_001
mouse_life_stage,Early adult
parameter_name,Bone Area
mouse_strain,129SV
gene_accession_id,MGI:1332236
analysis_id,6xcz40h86scrq9z
pvalue,0.8907586
