parameter_name,Spleen weight
pvalue,0.5028261
parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
gene_symbol,Fgb
mouse_strain,C57BL
analysis_id,6qtoh3qb039031s
