analysis_id,sft8yb192yfh8by
mouse_strain,C57BL
parameter_name,Skull shape
mouse_life_stage,Early adult
gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
pvalue,0.4416441
parameter_id,CCP_XRY_001_001
