gene_symbol,Mgst2
mouse_strain,C57BL
parameter_name,RR
gene_accession_id,MGI:2448481
pvalue,0.5774462
analysis_id,qg3g14835838q79
parameter_id,IMPC_ECG_004_001
mouse_life_stage,Early adult
