parameter_name,Global prepulse inhibition
pvalue,0.7461865
gene_symbol,Kdm5b
mouse_strain,C57BL
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
analysis_id,2906vg10p78wflz
parameter_id,ESLIM_011_001_705
