gene_symbol,Tbl1xr1
analysis_id,229t8gp0u2k6oj1
pvalue,0.4900366
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2441730
parameter_id,IMPC_IMM_004_002
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
