parameter_name,Eye
mouse_life_stage,Early adult
gene_symbol,Trdmt1
pvalue,0.9960616
gene_accession_id,MGI:1274787
parameter_id,M-G-P_013_001_001
analysis_id,67ja072si31k39l
mouse_strain,C57BL
