parameter_name,Neutrophils
mouse_strain,C57BL
gene_symbol,Pld1
analysis_id,80091pvho867u5x
pvalue,0.6674003
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
parameter_id,IMPC_IMM_050_001
