analysis_id,sy3pb4zmkh98820
parameter_name,Total bilirubin
pvalue,6.061798e-05
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_008_001
gene_symbol,Gfi1b
