parameter_name,Startle response
pvalue,0.2328963
parameter_id,ESLIM_008_001_013
mouse_strain,C57BL
gene_symbol,Hspa5
gene_accession_id,MGI:95835
analysis_id,44sddb0yniph1vj
mouse_life_stage,E12.5
