analysis_id,77k8h3oig24ax1h
parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Hemorrhage
pvalue,0.8742288
