parameter_id,HMGULA_CBC_009_001
pvalue,0.2066337
gene_symbol,Car13
analysis_id,fy357u3o2948w78
mouse_strain,C57BL
parameter_name,Calcium
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
