gene_symbol,Pld1
parameter_name,Total food intake
pvalue,0.157839
analysis_id,1u018o69ksrdo2z
gene_accession_id,MGI:109585
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
