parameter_id,GMC_906_001_005
parameter_name,Potassium
gene_symbol,Lcn2
pvalue,0.9704709
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,48sqbcc5914tzyb
gene_accession_id,MGI:96757
