analysis_id,j9k8232e04yjr40
pvalue,0.1838595
mouse_life_stage,Early adult
gene_symbol,Kdm4c
parameter_name,Weight
parameter_id,CCP_LFO_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1924054
