gene_symbol,Ift74
mouse_strain,C57BL
pvalue,0.7077506
parameter_name,Coat - color - abdomen
parameter_id,JAXLA_CSD_007_001
gene_accession_id,MGI:1914944
mouse_life_stage,Early adult
analysis_id,u696vv292z4f2e9
