analysis_id,6m2mmbuxbt2uvh2
gene_accession_id,MGI:106100
parameter_id,JAXLA_CSD_077_001
parameter_name,Contact righting
pvalue,0.4531336
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Etfdh
