gene_symbol,Ola1
parameter_name,B cell percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
mouse_strain,C57BL
parameter_id,MGP_PBI_014_001
analysis_id,9gcm1o2s21rtye1
pvalue,0.6543939
