parameter_name,Heart looping
mouse_strain,C57BL
pvalue,0.7920576
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
analysis_id,8pp4jf450dykuw8
parameter_id,IMPC_GEL_057_001
gene_symbol,Ola1
