gene_symbol,Dnajc6
analysis_id,5pc5ey2l4g3177i
mouse_strain,C58BL
mouse_life_stage,Early adult
pvalue,0.2147842
parameter_id,MGP_IMM_076_001
gene_accession_id,MGI:1919935
parameter_name,Total Treg cells - % of CD45+
