analysis_id,13ddq42ma236uew
gene_accession_id,MGI:3026886
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6907174
parameter_name,Shape of ribcage
parameter_id,IMPC_XRY_059_001
gene_symbol,Cdin1
