gene_symbol,Rap2b
analysis_id,bjj4p6612bh2jg2
mouse_strain,C57BL
parameter_id,MGP_IMM_014_001
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
pvalue,0.1858323
