analysis_id,577k49d8yk77o4l
gene_accession_id,MGI:1915087
mouse_life_stage,E9.5
parameter_id,MGP_IMM_028_001
mouse_strain,C57BL
pvalue,0.5287906
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
gene_symbol,Tiprl
