parameter_name,Center average speed
gene_symbol,Bmi1
mouse_strain,C57BL
pvalue,0.4511762
parameter_id,HRWLLA_OFD_017_001
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
analysis_id,g0ds6q7gzj2ux62
