analysis_id,20we01c24073iyf
gene_accession_id,MGI:106659
parameter_id,IMPC_ECH_005_001
gene_symbol,Sprr1b
mouse_life_stage,Early adult
pvalue,0.2393071
parameter_name,Fractional Shortening
mouse_strain,C57BL
