gene_symbol,Hpca
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,KLRG1+ NK cells - % of NK cells
analysis_id,ajrsa5a4ujgcbca
parameter_id,MGP_IMM_036_001
pvalue,0.7657332
gene_accession_id,MGI:1336200
