analysis_id,182f880ba1h84gz
parameter_id,M-G-P_005_001_004
pvalue,0.7929804
gene_accession_id,MGI:1913506
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,Early adult
gene_symbol,Ssr2
