parameter_name,Total cholesterol
parameter_id,HMGULA_CBC_015_001
gene_symbol,Trdmt1
analysis_id,93xu676bsp2h9v2
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
mouse_strain,C57BL
pvalue,0.1329587
