gene_symbol,Psd4
analysis_id,w5avbi7sze51z90
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Mean right eye lens density
pvalue,0.274852
parameter_id,IMPC_EYE_059_001
