gene_symbol,Lpgat1
pvalue,0.9424039
parameter_id,IMPC_EYE_026_001
mouse_strain,C57BL
analysis_id,61sh87j3710wi13
parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
