parameter_name,Follicular B Cells (CD21/35+)
gene_symbol,Casq1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2463964
parameter_id,IMPC_IMM_067_001
gene_accession_id,MGI:1309468
analysis_id,3qslx31d5ots235
