analysis_id,386389zg1r1n703
gene_accession_id,MGI:2444554
parameter_id,IMPC_CSD_033_001
gene_symbol,Mapkap1
parameter_name,Gait
pvalue,0.580708
mouse_strain,C57BL
mouse_life_stage,E12.5
