parameter_name,B cell percentage
analysis_id,5a6x848918iik12
gene_accession_id,MGI:95457
pvalue,0.5822056
gene_symbol,Mecom
mouse_life_stage,E15.5
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
